rate,location,rest_type,cuisines
3.8,Jayanagar,Dessert Parlor,"Desserts, Beverages"
0.0,Jayanagar,Bakery,"Bakery, Desserts"
3.6,Jayanagar,"Takeaway, Delivery",North Indian
4.0,Jayanagar,Quick Bites,"Burger, Sandwich, Beverages"
3.7,BTM,Beverage Shop,"Beverages, Juices"
3.9,BTM,Quick Bites,"North Indian, South Indian, Gujarati"
3.6,Jayanagar,"Bakery, Quick Bites","Bakery, Fast Food, Desserts, Beverages"
0.0,Jayanagar,Quick Bites,"North Indian, Biryani"
3.9,Jayanagar,Quick Bites,"South Indian, North Indian"
3.6,Basavanagudi,Quick Bites,"Burger, Fast Food"
4.2,BTM,Casual Dining,"Kerala, Seafood, Chinese, Biryani, Juices"
3.7,Wilson Garden,Quick Bites,North Indian
3.4,Banashankari,Cafe,"Cafe, Fast Food"
3.6,BTM,"Takeaway, Delivery",Rolls
0.0,Koramangala 8th Block,Quick Bites,Biryani
3.6,BTM,Delivery,Chinese
3.7,Jayanagar,Quick Bites,"Arabian, Rolls, North Indian, BBQ"
3.9,Jayanagar,Quick Bites,"Fast Food, Rolls"
3.9,Shanti Nagar,Quick Bites,"Fast Food, North Indian, Rolls"
3.9,Jayanagar,Quick Bites,"Beverages, Street Food"
3.8,Jayanagar,Pub,"Chinese, Continental, Burger, Pizza"
0.0,Jayanagar,Bakery,"Bakery, Desserts"
3.7,Wilson Garden,Quick Bites,"Mangalorean, Chinese, North Indian"
3.3,Shanti Nagar,Quick Bites,South Indian
3.6,Jayanagar,Quick Bites,"Biryani, South Indian"
3.6,BTM,Cafe,"Cafe, Continental, Fast Food"
3.7,Wilson Garden,Quick Bites,"Pizza, Fast Food"
4.1,Jayanagar,Dessert Parlor,"Desserts, Ice Cream"
3.9,Shanti Nagar,Beverage Shop,"Beverages, Desserts"
2.6,Shanti Nagar,Casual Dining,"Mughlai, North Indian, Chinese"
3.6,Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
0.0,Basavanagudi,"Takeaway, Delivery",North Indian
3.5,Shanti Nagar,Quick Bites,Fast Food
3.2,Shanti Nagar,"Quick Bites, Bakery","Chinese, Continental, Desserts, Bakery"
4.4,Jayanagar,Dessert Parlor,"Desserts, Beverages"
4.2,Jayanagar,Dessert Parlor,"Desserts, Beverages"
3.8,BTM,Quick Bites,"Burger, Pizza, Fast Food"
0.0,Jayanagar,Quick Bites,"South Indian, Indian"
3.4,Wilson Garden,Casual Dining,"Chinese, North Indian, Arabian"
3.5,Jayanagar,Casual Dining,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani"
4.0,Banashankari,Dessert Parlor,Desserts
0.0,Jayanagar,Casual Dining,"Asian, Chinese, Continental, Italian"
3.6,Shanti Nagar,Beverage Shop,"Beverages, Fast Food"
4.4,Jayanagar,"Beverage Shop, Quick Bites","Beverages, Fast Food"
3.7,BTM,Beverage Shop,Tea
3.6,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts"
4.5,BTM,Cafe,"Cafe, Continental, Burger"
3.7,Koramangala 5th Block,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese"
3.7,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani"
2.8,Jayanagar,Quick Bites,"Chinese, Thai, Momos"
4.2,Richmond Road,Cafe,Cafe
2.8,BTM,Quick Bites,"North Indian, Street Food"
3.8,Jayanagar,Dessert Parlor,"Desserts, Ice Cream"
3.9,JP Nagar,Bar,"North Indian, Chinese, Pizza, BBQ"
3.9,Wilson Garden,Casual Dining,"North Indian, Chinese"
3.3,Koramangala 5th Block,Quick Bites,"Mangalorean, South Indian"
3.9,Jayanagar,Cafe,"Cafe, Continental, Italian, Burger"
4.0,Jayanagar,"Bakery, Quick Bites","Bakery, Fast Food"
3.6,Jayanagar,Beverage Shop,Beverages
3.5,Shanti Nagar,Quick Bites,North Indian
3.7,BTM,Cafe,"Cafe, Fast Food, Beverages"
4.1,Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
4.0,JP Nagar,Quick Bites,"Biryani, Fast Food"
3.4,Jayanagar,Quick Bites,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab"
3.5,Jayanagar,Quick Bites,"South Indian, North Indian"
3.6,Jayanagar,Quick Bites,"Beverages, Fast Food"
4.1,JP Nagar,Casual Dining,"Pizza, Salad"
3.5,Basavanagudi,Quick Bites,Biryani
4.1,Basavanagudi,Quick Bites,"Fast Food, Street Food"
3.5,BTM,Quick Bites,"North Indian, South Indian, Chinese"
3.2,Jayanagar,Dessert Parlor,"Desserts, Momos"
0.0,JP Nagar,Dessert Parlor,"Desserts, Ice Cream"
3.4,HSR,Quick Bites,"North Indian, Fast Food"
3.6,Shanti Nagar,Casual Dining,"North Indian, Chinese"
3.9,BTM,Casual Dining,"North Indian, Chinese, Fast Food"
4.3,Basavanagudi,Quick Bites,South Indian
3.6,Jayanagar,Beverage Shop,"Beverages, Juices, Ice Cream"
0.0,Koramangala 7th Block,Casual Dining,"European, French, Salad"
4.1,Jayanagar,Casual Dining,"Italian, Mexican"
0.0,Marathahalli,Dhaba,"North Indian, Fast Food, Beverages"
3.9,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese"
3.4,Jayanagar,Quick Bites,"South Indian, Street Food, Juices"
3.7,Jayanagar,Quick Bites,"Maharashtrian, Fast Food, Street Food, Sandwich"
3.9,Basavanagudi,Bakery,"Bakery, Desserts"
3.7,BTM,Quick Bites,"North Indian, Chinese"
0.0,BTM,Beverage Shop,"Beverages, Juices, Ice Cream"
3.6,JP Nagar,Dessert Parlor,"Ice Cream, Desserts"
3.7,Jayanagar,Dessert Parlor,"Desserts, Ice Cream"
3.9,JP Nagar,Casual Dining,North Indian
0.0,Jalahalli,Delivery,North Indian
0.0,Basavanagudi,Quick Bites,"Chinese, North Indian"
0.0,BTM,Bakery,"Bakery, Desserts"
3.4,BTM,Quick Bites,"North Indian, Chinese"
0.0,BTM,Delivery,Beverages
3.5,BTM,Quick Bites,"Fast Food, Beverages"
3.9,Jayanagar,Quick Bites,"Street Food, Maharashtrian"
3.5,Basavanagudi,Quick Bites,South Indian
0.0,Basavanagudi,Quick Bites,"North Indian, Biryani, Fast Food"
3.7,BTM,Cafe,"Cafe, Beverages"
3.8,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Rajasthani"
3.9,Wilson Garden,Quick Bites,North Indian
4.3,Shanti Nagar,Casual Dining,"Chinese, North Indian, Biryani, Kebab"
4.1,Basavanagudi,Casual Dining,"North Indian, Street Food"
4.3,Jayanagar,Casual Dining,"Chinese, Momos"
3.2,BTM,Quick Bites,"Tibetan, Momos"
2.6,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese"
4.1,Jayanagar,Quick Bites,South Indian
0.0,Basavanagudi,Quick Bites,"Fast Food, Maharashtrian"
0.0,Basavanagudi,Dessert Parlor,"Desserts, Bakery"
0.0,Basavanagudi,Quick Bites,"Fast Food, Pizza"
3.5,Basavanagudi,Quick Bites,"Biryani, North Indian"
3.6,Basavanagudi,"Casual Dining, Bar","Asian, Continental"
3.3,Basavanagudi,Quick Bites,"Burger, Fast Food, Italian"
3.2,Basavanagudi,Bakery,Bakery
3.2,Basavanagudi,Quick Bites,Pizza
0.0,Basavanagudi,Bakery,"Bakery, Desserts"
0.0,Basavanagudi,Quick Bites,"South Indian, Beverages"
0.0,Basavanagudi,Casual Dining,"South Indian, Chinese"
0.0,Basavanagudi,Quick Bites,"Fast Food, Biryani"
0.0,Basavanagudi,Quick Bites,Fast Food
0.0,Basavanagudi,Quick Bites,Fast Food
3.1,BTM,Delivery,"North Indian, Chinese"
3.2,Basavanagudi,Quick Bites,"North Indian, Mughlai"
3.2,JP Nagar,Kiosk,"Chinese, Tibetan, Fast Food"
0.0,Basavanagudi,Quick Bites,"Biryani, Kebab, Chinese"
3.3,Basavanagudi,Bakery,"Bakery, Desserts"
3.3,BTM,Beverage Shop,Beverages
3.6,Basavanagudi,Casual Dining,"North Indian, Chinese"
4.1,Richmond Road,Casual Dining,"South Indian, Andhra, Chinese"
3.6,Wilson Garden,Quick Bites,North Indian
4.1,Shanti Nagar,Casual Dining,"Seafood, Mangalorean, South Indian"
0.0,Jayanagar,Beverage Shop,"Beverages, Juices"
4.2,BTM,Mess,"North Indian, Chinese, Biryani"
4.4,Jayanagar,Casual Dining,"North Indian, Italian"
3.1,Basavanagudi,Quick Bites,Fast Food
3.8,Jayanagar,Casual Dining,"Biryani, North Indian, Andhra"
3.8,Jayanagar,Casual Dining,"Mangalorean, Seafood"
3.7,Jayanagar,Lounge,"North Indian, Afghani"
3.5,Jayanagar,Dessert Parlor,Ice Cream
4.0,City Market,Casual Dining,"North Indian, Chinese"
3.5,Jayanagar,Casual Dining,North Indian
0.0,Jayanagar,Casual Dining,"North Indian, Chinese"
3.6,Koramangala 7th Block,Delivery,North Indian
3.8,Richmond Road,Casual Dining,"North Indian, Chinese, Mughlai"
4.1,Jayanagar,Casual Dining,"North Indian, Chinese"
3.1,Jayanagar,Quick Bites,"Mughlai, North Indian, Kebab, Rolls, Chinese"
0.0,Koramangala 4th Block,Quick Bites,"Fast Food, Juices"
0.0,Shanti Nagar,Quick Bites,"South Indian, Chinese, North Indian"
3.7,Jayanagar,Quick Bites,"Fast Food, Beverages"
3.1,Jayanagar,Quick Bites,Fast Food
3.3,Jayanagar,"Bakery, Quick Bites","Desserts, Bakery"
3.0,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese"
3.8,Jayanagar,Casual Dining,"Konkan, Seafood"
3.3,City Market,"Takeaway, Delivery","Healthy Food, Juices"
0.0,Wilson Garden,Quick Bites,North Indian
3.6,Jayanagar,Quick Bites,"Fast Food, Tea"
3.8,Jayanagar,Quick Bites,"Kerala, North Indian, Chinese"
3.2,Jayanagar,Quick Bites,"North Indian, Chinese"
0.0,Jayanagar,Sweet Shop,"Mithai, Street Food"
0.0,Jayanagar,Casual Dining,"North Indian, Chinese, Continental"
3.5,Jayanagar,Quick Bites,"Biryani, Kebab"
4.3,Jayanagar,"Sweet Shop, Quick Bites","Mithai, South Indian"
4.0,Jayanagar,Casual Dining,"Andhra, Biryani"
3.8,Jayanagar,Food Court,"South Indian, Chinese, North Indian"
3.9,Jayanagar,Dessert Parlor,"Desserts, Mithai"
3.6,Jayanagar,Casual Dining,"Continental, Italian, Chinese, North Indian"
0.0,Jayanagar,Quick Bites,"North Indian, Street Food"
3.5,Shanti Nagar,Casual Dining,"South Indian, Chinese"
3.4,City Market,Casual Dining,"Arabian, North Indian, Chinese, Kerala"
3.0,Wilson Garden,Casual Dining,"North Indian, Arabian, Chinese"
0.0,Jayanagar,Quick Bites,"Lebanese, Fast Food, Beverages"
3.6,Jayanagar,Quick Bites,"South Indian, North Indian"
3.5,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese, Kebab"
3.0,Wilson Garden,Quick Bites,"Street Food, Beverages"
0.0,Jayanagar,Kiosk,"Turkish, Rolls"
3.3,Shanti Nagar,Quick Bites,South Indian
3.6,Jayanagar,Quick Bites,"Chinese, Fast Food"
3.5,City Market,Quick Bites,"Biryani, Mughlai"
3.6,Wilson Garden,Quick Bites,"South Indian, North Indian, Chinese"
4.0,Jayanagar,Dessert Parlor,Desserts
3.8,Jayanagar,Quick Bites,"Juices, Fast Food"
0.0,Jayanagar,Sweet Shop,Mithai
0.0,Jayanagar,Quick Bites,"Beverages, Bakery"
3.6,Jayanagar,Quick Bites,Street Food
3.4,Shanti Nagar,Casual Dining,North Indian
0.0,Jayanagar,Quick Bites,"South Indian, North Indian"
0.0,City Market,Quick Bites,"North Indian, Chinese"
0.0,Jayanagar,Quick Bites,"Fast Food, Street Food"
0.0,Jayanagar,Quick Bites,"South Indian, Biryani"
0.0,Jayanagar,Bakery,"Bakery, Desserts"
0.0,Jayanagar,Quick Bites,"North Indian, South Indian"
0.0,Jayanagar,Quick Bites,"Fast Food, Burger, Rolls, Beverages"
0.0,City Market,Quick Bites,"North Indian, Chinese, Biryani"
3.7,Jayanagar,Dessert Parlor,Desserts
3.6,Jayanagar,Delivery,"Bakery, Healthy Food"
3.4,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese"
0.0,Jayanagar,Quick Bites,Biryani
0.0,Jayanagar,Delivery,North Indian
0.0,Wilson Garden,Delivery,Bakery
3.3,City Market,Quick Bites,"North Indian, Chinese, Kebab, Rolls"
3.0,Jayanagar,Quick Bites,"Bengali, North Indian, Chinese"
0.0,Jayanagar,Quick Bites,South Indian
0.0,Shanti Nagar,Dessert Parlor,"Desserts, Ice Cream"
3.6,City Market,Casual Dining,"South Indian, North Indian, Chinese, Desserts, Juices"
0.0,BTM,Quick Bites,"Kerala, South Indian"
3.2,Jayanagar,Casual Dining,South Indian
3.9,Jayanagar,"Beverage Shop, Quick Bites","Beverages, Fast Food"
3.8,Jayanagar,Casual Dining,"North Indian, Chinese"
3.4,Jayanagar,Bakery,Bakery
0.0,JP Nagar,Delivery,Mughlai
0.0,JP Nagar,Delivery,Biryani
3.9,Jayanagar,Quick Bites,"North Indian, Fast Food, Street Food"
3.6,BTM,Quick Bites,Sandwich
4.2,Basavanagudi,Bakery,Bakery
4.3,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts"
3.9,Basavanagudi,Dessert Parlor,Bakery
3.7,Basavanagudi,Sweet Shop,Mithai
4.1,Basavanagudi,Beverage Shop,"Beverages, Desserts"
0.0,Basavanagudi,Bakery,"Bakery, Desserts"
3.7,Basavanagudi,Dessert Parlor,"Bakery, Desserts"
3.8,Basavanagudi,Dessert Parlor,Ice Cream
0.0,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream"
0.0,Basavanagudi,Bakery,"Bakery, Mithai"
0.0,Basavanagudi,"Sweet Shop, Dessert Parlor","Mithai, Desserts, Bakery"
3.8,Basavanagudi,Dessert Parlor,Desserts
0.0,Basavanagudi,Bakery,Bakery
4.5,Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
4.4,Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
4.2,Jayanagar,Beverage Shop,"Beverages, Desserts"
4.2,Jayanagar,Dessert Parlor,"Bakery, Desserts"
3.7,Jayanagar,Quick Bites,"Street Food, Mithai"
3.7,Jayanagar,Bakery,Bakery
0.0,Jayanagar,Bakery,"Bakery, Desserts, Fast Food"
4.1,Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
0.0,Jayanagar,Bakery,"Bakery, Desserts"
0.0,Wilson Garden,Cafe,"Cafe, Fast Food"
3.9,Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
0.0,Jayanagar,"Bakery, Beverage Shop","Bakery, Tea, Beverages"
4.3,Basavanagudi,Casual Dining,"Desserts, Asian, Beverages"
3.6,Basavanagudi,Casual Dining,"Andhra, Chinese, North Indian"
3.4,Basavanagudi,Casual Dining,South Indian
3.7,Basavanagudi,Bar,Finger Food
3.6,Basavanagudi,Casual Dining,"North Indian, Chinese"
3.2,Basavanagudi,"Beverage Shop, Quick Bites","Beverages, Sandwich"
4.5,Basavanagudi,Quick Bites,South Indian
4.8,Basavanagudi,Quick Bites,South Indian
3.8,Basavanagudi,Quick Bites,"Burger, Fast Food"
3.9,Basavanagudi,Quick Bites,"Pizza, Fast Food"
3.7,Basavanagudi,Quick Bites,South Indian
2.9,Basavanagudi,Quick Bites,"Pizza, Fast Food"
3.7,Basavanagudi,Quick Bites,"Seafood, Chinese, South Indian, North Indian"
2.8,Basavanagudi,Quick Bites,Chinese
4.2,Basavanagudi,Quick Bites,South Indian
3.7,Basavanagudi,Quick Bites,"Street Food, Fast Food"
3.5,Basavanagudi,Quick Bites,South Indian
4.1,Basavanagudi,Quick Bites,South Indian
2.7,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
3.4,Jayanagar,Quick Bites,"North Indian, Biryani, Fast Food"
0.0,Basavanagudi,Quick Bites,South Indian
3.9,Basavanagudi,Quick Bites,"North Indian, Rajasthani"
0.0,Basavanagudi,Quick Bites,"South Indian, Street Food"
0.0,Basavanagudi,Quick Bites,"South Indian, Chinese, North Indian"
3.7,Basavanagudi,Quick Bites,South Indian
3.6,Basavanagudi,Quick Bites,"South Indian, Biryani"
2.9,Basavanagudi,Quick Bites,South Indian
3.7,Basavanagudi,Quick Bites,Street Food
3.3,Basavanagudi,Quick Bites,"Street Food, Fast Food"
3.6,Basavanagudi,Quick Bites,South Indian
3.2,Basavanagudi,Quick Bites,South Indian
3.3,Basavanagudi,Quick Bites,"Biryani, Seafood, South Indian"
3.3,Basavanagudi,Quick Bites,Fast Food
3.3,Basavanagudi,Quick Bites,Fast Food
4.3,Jayanagar,"Casual Dining, Bar","Pizza, Italian, Chinese, Thai"
3.9,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian"
4.0,Jayanagar,Casual Dining,"North Indian, Continental, Chinese, South Indian"
4.2,Jayanagar,Quick Bites,"Biryani, Kebab"
3.7,Jayanagar,Quick Bites,"North Indian, Chinese, South Indian"
4.4,Jayanagar,Quick Bites,South Indian
3.9,City Market,Quick Bites,Biryani
3.8,City Market,Quick Bites,"North Indian, Biryani"
4.2,Jayanagar,Quick Bites,South Indian
3.6,Jayanagar,Quick Bites,"South Indian, North Indian"
3.7,Jayanagar,Pub,Finger Food
3.7,Jayanagar,Casual Dining,"North Indian, Chinese, Continental, Pizza"
4.1,Jayanagar,Quick Bites,South Indian
2.7,Shanti Nagar,Casual Dining,"South Indian, Chinese, Biryani"
0.0,Jayanagar,Quick Bites,South Indian
3.8,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices"
3.3,Jayanagar,Quick Bites,South Indian
3.6,Jayanagar,Casual Dining,Continental
0.0,City Market,Casual Dining,South Indian
0.0,City Market,Casual Dining,"North Indian, Chinese, Mughlai, Seafood"
3.2,City Market,Casual Dining,"North Indian, Chinese"
3.4,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese"
3.4,Shanti Nagar,Quick Bites,"Biryani, Fast Food"
2.8,Jayanagar,Casual Dining,"North Indian, South Indian, Chinese"
3.1,Wilson Garden,Quick Bites,"Fast Food, Burger"
0.0,City Market,Quick Bites,"North Indian, Chinese, South Indian"
0.0,Shanti Nagar,Quick Bites,Biryani
0.0,Shanti Nagar,Quick Bites,South Indian
0.0,Shanti Nagar,Quick Bites,"South Indian, Beverages"
3.7,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese"
0.0,City Market,Quick Bites,South Indian
0.0,City Market,Quick Bites,"Fast Food, Street Food"
0.0,City Market,Quick Bites,"North Indian, Biryani"
0.0,City Market,Quick Bites,South Indian
0.0,City Market,Quick Bites,South Indian
0.0,Jayanagar,Quick Bites,"Rolls, Lebanese"
3.0,Jayanagar,Quick Bites,North Indian
3.2,Shanti Nagar,Quick Bites,Biryani
3.4,Jayanagar,Quick Bites,"Fast Food, South Indian"
0.0,Shanti Nagar,Quick Bites,"South Indian, North Indian, Chinese"
0.0,Jayanagar,Quick Bites,"Biryani, Fast Food"
3.3,Jayanagar,Quick Bites,"South Indian, Chinese"
0.0,Shanti Nagar,Quick Bites,South Indian
0.0,Shanti Nagar,Quick Bites,South Indian
3.3,City Market,Quick Bites,"North Indian, Biryani"
0.0,City Market,Quick Bites,"North Indian, South Indian, Arabian"
3.4,City Market,Quick Bites,"South Indian, Kerala"
0.0,City Market,Quick Bites,North Indian
0.0,City Market,Quick Bites,"North Indian, Biryani"
3.3,Wilson Garden,Quick Bites,South Indian
3.9,Bellandur,Casual Dining,"North Indian, South Indian, Continental"
4.4,Sarjapur Road,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian"
4.2,Bellandur,Casual Dining,"Asian, North Indian, South Indian, Momos"
4.1,Bellandur,Casual Dining,"North Indian, Mughlai, Mediterranean, Iranian"
4.4,Bellandur,"Bar, Casual Dining","North Indian, Chinese, Continental, Mexican"
4.3,Bellandur,Casual Dining,"North Indian, Continental, Asian"
4.0,Bellandur,Casual Dining,North Indian
3.9,Bellandur,Bar,"Biryani, North Indian"
3.6,Bellandur,Lounge,"North Indian, Mughlai, Mediterranean"
4.1,Bellandur,"Casual Dining, Bar",North Indian
3.7,Bellandur,Casual Dining,"Chinese, North Indian, Salad, Fast Food"
2.8,Bellandur,Food Court,Continental
3.0,Bellandur,Casual Dining,"North Indian, Italian, Chinese, Asian"
3.5,Bellandur,Casual Dining,"Chinese, Italian, North Indian"
3.0,Bellandur,Casual Dining,"North Indian, Biryani"
3.8,Bellandur,"Lounge, Casual Dining","Finger Food, North Indian"
4.8,Marathahalli,"Casual Dining, Bar","North Indian, European, Mediterranean, BBQ"
4.5,Marathahalli,Casual Dining,"North Indian, Mughlai, Italian"
4.7,Sarjapur Road,Casual Dining,"European, Mediterranean, North Indian, BBQ"
4.3,Sarjapur Road,Casual Dining,"Asian, Chinese, Continental, North Indian, South Indian"
4.3,Marathahalli,Casual Dining,"North Indian, Continental, Chettinad, Andhra, Bengali"
4.7,Sarjapur Road,"Bar, Casual Dining","Goan, Asian, North Indian, European, Continental"
3.9,Sarjapur Road,Casual Dining,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali"
4.3,Sarjapur Road,Casual Dining,"Italian, Pizza"
4.0,Sarjapur Road,Pub,"Continental, Chinese, North Indian"
4.3,Sarjapur Road,Casual Dining,"Rajasthani, North Indian"
3.0,Sarjapur Road,Casual Dining,"North Indian, Chinese"
3.9,Sarjapur Road,Lounge,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food"
3.7,Bellandur,"Cafe, Quick Bites","North Indian, South Indian, Andhra, Cafe"
4.0,Bellandur,Cafe,"Cafe, Healthy Food, Salad"
0.0,Bellandur,Takeaway,"Fast Food, Cafe"
3.8,Bellandur,Cafe,"Cafe, Bakery, Italian"
3.6,Bellandur,"Bakery, Quick Bites","Bakery, Fast Food, Pizza, Burger, Cafe"
4.0,Bellandur,Cafe,Cafe
3.9,Bellandur,"Cafe, Food Court","Cafe, Desserts"
3.9,Bellandur,Cafe,Cafe
3.6,Bellandur,"Beverage Shop, Cafe","Tea, Fast Food, Cafe"
3.1,Bellandur,Cafe,"Cafe, Fast Food"
2.9,Bellandur,Cafe,"Cafe, Continental, Tea"
4.0,Bellandur,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream"
3.7,Bellandur,Cafe,Cafe
3.7,Bellandur,Cafe,"Cafe, Fast Food"
0.0,Bellandur,"Cafe, Bakery","Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich"
3.0,Bellandur,Cafe,"Cafe, Fast Food"
3.8,Bellandur,Cafe,"Cafe, European, Beverages, Italian"
4.0,Bellandur,Cafe,"Cafe, Burger, Italian, Salad"
3.6,Bellandur,Quick Bites,"Fast Food, Tea"
4.3,Sarjapur Road,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages"
4.3,Sarjapur Road,Cafe,"Cafe, Italian, Continental, Burger"
4.3,Sarjapur Road,Cafe,"Cafe, Italian, Pizza"
3.7,Marathahalli,Cafe,"Cafe, Beverages, Continental, North Indian, Chinese"
4.1,Sarjapur Road,Cafe,"Cafe, Rolls, Fast Food"
3.9,Whitefield,Quick Bites,"Cafe, Fast Food, Pizza, Burger, Beverages"
0.0,Sarjapur Road,Cafe,"Cafe, Fast Food"
0.0,Sarjapur Road,Quick Bites,"Burger, American, Beverages, Cafe"
4.4,Bellandur,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts"
3.4,Marathahalli,Quick Bites,"North Indian, Chinese"
3.9,Bellandur,Casual Dining,"North Indian, Biryani, Chinese, Beverages"
4.1,Bellandur,"Takeaway, Delivery","North Indian, Mughlai, Fast Food"
3.2,Marathahalli,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
3.8,Bellandur,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
2.9,Bellandur,Quick Bites,"North Indian, Chinese"
3.3,Sarjapur Road,Quick Bites,"Kerala, Seafood, South Indian, Biryani"
4.3,HSR,Delivery,North Indian
4.4,Sarjapur Road,Delivery,"North Indian, Healthy Food, Beverages"
3.8,Marathahalli,Quick Bites,Bengali
3.5,Bellandur,Quick Bites,"Kerala, Seafood, Biryani, South Indian"
3.2,Marathahalli,Quick Bites,"North Indian, Chinese, Oriya"
3.1,Sarjapur Road,Quick Bites,North Indian
3.9,HSR,Quick Bites,"North Indian, Chinese"
2.9,Bellandur,Quick Bites,"North Indian, Chinese"
3.8,Sarjapur Road,Quick Bites,"Burger, Fast Food"
3.7,Bellandur,Mess,"Kerala, Biryani, South Indian"
4.0,Bellandur,Quick Bites,"North Indian, Chinese"
4.5,HSR,Dessert Parlor,"Desserts, Beverages"
3.8,Marathahalli,Quick Bites,"Beverages, Juices, Ice Cream, Fast Food, Sandwich"
0.0,Bellandur,Casual Dining,Mangalorean
4.0,HSR,Casual Dining,North Indian
4.2,Sarjapur Road,Casual Dining,"North Indian, Street Food"
4.2,Marathahalli,Casual Dining,"Biryani, Seafood, Andhra, North Indian"
3.9,Bellandur,Casual Dining,"North Indian, Chinese, Street Food, Fast Food, Mithai"
3.8,Sarjapur Road,Casual Dining,"Arabian, Kerala, North Indian, Chinese, BBQ"
3.8,Bellandur,Casual Dining,"Biryani, Andhra, North Indian, Chinese"
3.8,Bellandur,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
3.6,Sarjapur Road,Casual Dining,"Andhra, Biryani, South Indian, Chinese"
3.7,Marathahalli,Casual Dining,"Biryani, North Indian, Chinese"
3.6,Marathahalli,Quick Bites,"Andhra, Chinese, Biryani"
4.0,Bellandur,Sweet Shop,"Mithai, Street Food"
3.8,HSR,Quick Bites,"North Indian, Chinese, Fast Food"
3.5,Sarjapur Road,Quick Bites,"Biryani, North Indian"
2.9,Marathahalli,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani"
3.9,Marathahalli,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich"
3.7,Bellandur,Quick Bites,"North Indian, Biryani, South Indian"
3.9,Bellandur,Quick Bites,Biryani
4.0,Bellandur,Quick Bites,"South Indian, North Indian, Chinese"
3.8,Sarjapur Road,Quick Bites,"Biryani, Rolls"
0.0,Sarjapur Road,Quick Bites,"Pizza, Fast Food"
3.6,Bellandur,Casual Dining,Biryani
3.0,Bellandur,Quick Bites,North Indian
4.2,HSR,Casual Dining,"North Indian, Continental, BBQ"
4.1,Bellandur,"Takeaway, Delivery",Pizza
4.0,HSR,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
4.4,HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian"
3.9,HSR,Quick Bites,North Indian
3.8,Marathahalli,Casual Dining,"South Indian, North Indian, Chinese"
3.5,Marathahalli,Quick Bites,South Indian
4.1,Sarjapur Road,Delivery,North Indian
3.8,Sarjapur Road,Delivery,"Biryani, North Indian"
4.0,Bellandur,Casual Dining,"Biryani, Kebab"
3.8,Sarjapur Road,Quick Bites,"South Indian, North Indian, Fast Food"
0.0,Bellandur,Casual Dining,Biryani
3.2,Sarjapur Road,Quick Bites,Biryani
3.8,Sarjapur Road,Delivery,"Biryani, Kebab, Rolls, Mughlai"
4.0,Marathahalli,Casual Dining,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian"
3.7,Marathahalli,Quick Bites,"Salad, Fast Food"
3.2,Sarjapur Road,Quick Bites,"Burger, Fast Food"
3.8,Marathahalli,Delivery,"North Indian, South Indian, Chinese, Continental"
3.4,Bellandur,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala"
3.8,Sarjapur Road,Casual Dining,"South Indian, North Indian, Chinese"
0.0,Sarjapur Road,Delivery,"Biryani, North Indian"
