rate,location,rest_type,cuisines
3.5,Banashankari,Quick Bites,"South Indian, Biryani"
3.8,Banashankari,"Takeaway, Delivery",Bakery
3.5,Banashankari,Bakery,"Bakery, Desserts"
3.4,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food"
0.0,Banashankari,"Takeaway, Delivery",Beverages
3.2,Banashankari,Quick Bites,Biryani
3.2,Banashankari,Quick Bites,North Indian
0.0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages"
3.1,Banashankari,Quick Bites,North Indian
3.4,Banashankari,Bakery,"Bakery, Desserts"
0.0,Banashankari,Dessert Parlor,Mithai
0.0,Banashankari,Bakery,Bakery
0.0,Banashankari,Quick Bites,"North Indian, Street Food"
0.0,Banashankari,"Takeaway, Delivery",South Indian
0.0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices"
0.0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian"
3.1,Banashankari,Bar,"Chinese, North Indian"
4.1,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
3.3,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian"
3.1,Banashankari,Quick Bites,"Fast Food, South Indian"
3.3,Banashankari,Quick Bites,"Street Food, Fast Food"
2.9,Banashankari,Dessert Parlor,"Ice Cream, Desserts"
0.0,Banashankari,Delivery,"South Indian, North Indian, Continental"
0.0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian"
3.3,Banashankari,Delivery,South Indian
0.0,Banashankari,Quick Bites,"Rolls, North Indian"
0.0,Banashankari,Quick Bites,South Indian
0.0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese"
0.0,Banashankari,Quick Bites,North Indian
0.0,Banashankari,Quick Bites,"Biryani, Fast Food"
0.0,Banashankari,Beverage Shop,"Beverages, Juices"
0.0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices"
0.0,Banashankari,"Takeaway, Delivery",South Indian
0.0,Banashankari,Quick Bites,"South Indian, Chinese"
0.0,Banashankari,Quick Bites,Andhra
0.0,Banashankari,Quick Bites,Biryani
0.0,Banashankari,Quick Bites,"South Indian, Biryani"
0.0,Banashankari,Confectionery,Desserts
0.0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich"
0.0,Banashankari,Quick Bites,"South Indian, Biryani"
0.0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food"
0.0,Banashankari,Quick Bites,"South Indian, Beverages"
4.0,Banashankari,Casual Dining,"South Indian, North Indian, Chinese"
3.0,Banashankari,Bar,"North Indian, Chinese"
3.9,Basavanagudi,Quick Bites,South Indian
4.1,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages"
3.8,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices"
3.8,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese"
3.8,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls"
4.1,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food"
3.8,Banashankari,Quick Bites,"Burger, Fast Food"
0.0,Banashankari,Quick Bites,Fast Food
4.1,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich"
3.7,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages"
3.9,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream"
3.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese"
3.7,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese"
3.3,Basavanagudi,"Takeaway, Delivery",Biryani
3.3,Banashankari,Quick Bites,Biryani
3.6,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani"
3.3,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai"
4.6,Jayanagar,Cafe,"Cafe, Beverages"
4.1,Basavanagudi,Quick Bites,"South Indian, Chinese"
4.1,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese"
3.7,Basavanagudi,Beverage Shop,"Beverages, Ice Cream"
3.2,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices"
4.0,Banashankari,Sweet Shop,"Mithai, Street Food"
3.7,Banashankari,"Takeaway, Delivery","Italian, Pizza"
3.5,Banashankari,Quick Bites,Biryani
3.8,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls"
3.8,Basavanagudi,Bakery,Bakery
4.2,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza"
3.6,Banashankari,Quick Bites,South Indian
3.0,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab"
4.1,Basavanagudi,Quick Bites,Street Food
3.8,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza"
3.1,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian"
3.9,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts"
4.5,Jayanagar,Beverage Shop,"Beverages, Sandwich"
4.1,Kumaraswamy Layout,Casual Dining,Italian
3.6,Banashankari,Quick Bites,"Fast Food, Italian, Beverages"
3.5,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich"
3.9,Banashankari,Dessert Parlor,Ice Cream
3.9,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani"
3.9,Basavanagudi,Quick Bites,South Indian
4.3,Jayanagar,Quick Bites,"North Indian, Street Food, Juices"
3.8,Kumaraswamy Layout,Quick Bites,South Indian
3.9,Kumaraswamy Layout,Quick Bites,Arabian
4.2,Banashankari,Quick Bites,North Indian
3.6,Basavanagudi,Quick Bites,South Indian
3.8,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages"
3.3,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts"
3.9,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
3.4,Banashankari,Quick Bites,South Indian
3.9,Banashankari,Quick Bites,South Indian
3.8,Banashankari,Casual Dining,"Pizza, Fast Food"
3.8,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani"
3.6,Basavanagudi,Dessert Parlor,Fast Food
4.1,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos"
4.2,Basavanagudi,Quick Bites,"Street Food, Fast Food"
3.5,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food"
2.5,Banashankari,Casual Dining,North Indian
4.1,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ"
4.1,Jayanagar,Quick Bites,"Chinese, Fast Food"
3.9,Banashankari,Casual Dining,"North Indian, Chinese, Continental"
3.6,Uttarahalli,Casual Dining,"North Indian, Chinese"
3.6,Banashankari,Casual Dining,Vietnamese
3.2,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food"
3.1,Kumaraswamy Layout,Quick Bites,North Indian
3.1,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab"
0.0,Basavanagudi,Quick Bites,"North Indian, Chinese"
4.3,Jayanagar,Casual Dining,"Italian, Salad"
3.9,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese"
4.3,Banashankari,Dessert Parlor,"Desserts, Ice Cream"
3.8,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese"
3.9,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian"
3.0,Jayanagar,Quick Bites,Andhra
3.6,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian"
2.8,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean"
3.6,JP Nagar,Casual Dining,South Indian
4.4,Jayanagar,Beverage Shop,"Beverages, Tea"
3.8,Jayanagar,Quick Bites,"North Indian, Street Food"
3.8,Basavanagudi,Quick Bites,"Pizza, Italian"
3.6,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages"
3.9,Basavanagudi,Quick Bites,"South Indian, Mangalorean"
0.0,Basavanagudi,Bakery,"Bakery, Desserts"
0.0,JP Nagar,Dessert Parlor,Ice Cream
3.6,Mysore Road,Quick Bites,South Indian
3.7,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices"
3.6,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian"
3.8,Basavanagudi,Quick Bites,"Fast Food, Street Food"
3.4,Basavanagudi,Dessert Parlor,Desserts
